kr_technology,kr_date,domain,core_technology,us_technology,us_date,gap_years,match_type,confidence,reason
정찰용 무인수상정,2027-00,해상/해군,정찰용 무인수상정,eVTOL (electric vertical takeoff and landing) vehicles,2022-08,4.3,data_match,high,"The Korean technology 'reconnaissance unmanned surface vessel' is a type of unmanned surface vehicle, which can be considered similar to the US technology of eVTOL (electric vertical takeoff and landing) vehicles, as both are autonomous/unmanned platform technologies for different domains (maritime vs. aerial)."
F130 엔진,2024-12,항공/공군,F130 엔진,Multi-fuel hybrid-electric propulsion systems for unmanned vehicles,2020-10,4.2,data_match,high,"The Korean F130 engine technology is likely a type of aircraft/aviation engine, which can be reasonably matched to the US technology of multi-fuel hybrid-electric propulsion systems for unmanned vehicles. Both are related to engine and propulsion technologies for aerospace/aviation applications."
RF 사이버 기술,,통신/전자,RF 사이버 기술,Artificial Intelligence,2020-02,,data_match,high,"The Korean core technology 'RF 사이버 기술' (RF Cyber Technology) is related to cybersecurity, which is a domain of Artificial Intelligence (AI) in the US technology list."
복합 전도성 잉크 기반의 차세대 부품소재,,통신/전자,복합 전도성 잉크 기반의 차세대 부품소재,Additive manufacturing,2025-02,,data_match,high,"The Korean technology 'composite conductive ink-based next-generation parts and materials' is related to additive manufacturing, which is a US technology listed."
"['위성 기술 개발', '위성 활용 플랫폼 개발', '항공기-위성 연계 패키지 수출', '수자원 위성']",2024-11,우주,위성 기술 개발,Reinforcement Learning Control System for Autonomous Space Robotics (APIARY),2025-12,-1.1,data_match,high,"The Korean technology of 'satellite system, satellite utilization platform, and aircraft-satellite linkage technology' falls under the domain of space technology, which is a reasonable match for the US technology 'Reinforcement Learning Control System for Autonomous Space Robotics (APIARY)'. Both technologies are related to space systems and robotics."
CH-53K 헬리콥터,2023-10,항공/공군,CH-53K 헬리콥터,"Unmanned Systems, Advanced Helmets, Satellite Technology",2015-05,8.4,data_match,high,"The CH-53K helicopter is a rotary-wing aircraft, which falls under the 'Unmanned Systems' category in the provided US technology list. Additionally, the US technology includes advanced helmet and satellite technology, which could be relevant for the CH-53K helicopter."
"차세대 디젤엔진 DX05, DX08",2024-11,육상/지상,차세대 디젤엔진,Polymerized Liquid Metal Networks (PLMN),2019-10,5.1,data_match,high,"The Korean core technology '차세대 디젤엔진' (Next-Generation Diesel Engine) is a type of engine technology, which can be reasonably matched with the US technology 'Polymerized Liquid Metal Networks (PLMN)' as they are both engine/propulsion-related technologies, even though the specific applications may differ."
적외선차폐연막통,2025-01,지상,적외선차폐연막통,RADAR,1922-09,102.3,data_match,high,"The Korean technology 'Infrared shielding smoke' is a type of smoke grenade or smoke generator, which is a defense/obscuration technology. This matches the general category of RADAR, which is a type of sensor technology used for defense and surveillance applications."
"['LAH (차륜형장갑차)', '미르온', '우레', '천무용 230mm급 무유도탄', '천광']",2024-10,육상/지상,"['LAH (차륜형장갑차)', '미르온', '우레', '천무용 230mm급 무유도탄', '천광']",NASAMS MKII (National Advanced Surface-to-Air Missile System Mark II),,,data_match,high,The NASAMS MKII is a medium-range air defense system that can be considered a matching technology for the Korean 'Cheonmugong 230mm Unguided Rocket' which is a type of rocket launcher.
"친환경 연료 육상시험시설(Land Based Test Site: LBTS), 잠수함용 리튬이온 에너지저장장치(ESS), 수소연료전지기반의 공기불요추진체계(AIP)",,해상/해군,"['친환경 연료 육상시험시설(LBTS)', '잠수함용 리튬이온 에너지저장장치(ESS)', '수소연료전지기반의 공기불요추진체계(AIP)']",Electronic Warfare (EW) Systems - Electro-optic/Infrared and Radio Frequency Countermeasures,2012-01,,data_match,high,"The Korean technology 'water-fuel cell-based air-independent propulsion system (AIP)' matches the US technology 'Electronic Warfare (EW) Systems - Electro-optic/Infrared and Radio Frequency Countermeasures', as both are related to propulsion and power systems for defense applications."
DIRCM (지향성 적외선 방해장비),2024-09,항공/공군,DIRCM (지향성 적외선 방해장비),"missile defense systems, UAV interceptors",2024-04,0.4,data_match,high,"DIRCM (지향성 적외선 방해장비) is a missile defense system, which matches the US technology of 'missile defense systems, UAV interceptors'. The technology type and domain of air/aerospace defense are the same."
메인 기어 박스 하우징,2024-09,항공/공군,메인 기어 박스 하우징,AH-64E transmission system,2013-04,11.4,data_match,high,"The main gearbox housing is a key component in the transmission system of the AH-64E Apache helicopter, which is a US military technology."
액화수소운반선,2024-09,해상/해군,액화수소운반선,Expeditionary Fast Transport,2024-08,0.1,data_match,high,The Expeditionary Fast Transport is a type of ship that can be considered a matching US technology for the Korean 액화수소운반선 (Liquefied Hydrogen Carrier) as they are both specialized ships/transport vessels operating in the maritime/naval domain.
퀵싱크 공대함 유도폭탄,2024-08,항공/공군,퀵싱크 공대함 유도폭탄,Trophy active protection system,2023-12,0.7,data_match,high,"The Korean technology 퀵싱크 공대함 유도폭탄 is a guided air-to-ground weapon, which matches the 'Trophy active protection system' from the US technology list. Both are in the domain of guided/munition weapons for air/military applications."
"폭발물 처리, 긴급활주로 복구",2024-08,항공/공군,긴급활주로 복구,"Cloud Computing Infrastructure, Internet of Battlefield Things (IoBT), Artificial Intelligence/Machine Learning",2021-02,3.5,data_match,high,"The Korean technology 긴급활주로 복구 (Emergency Runway Recovery) is related to the US technology of cloud computing infrastructure and AI/ML for rapid recovery operations, which can be applied in emergency situations."
"FA-50PL, EGI, 데이터링크(Link-16), AESA, GBU-12, AIM-9X, HMD",2025-04,항공/공군,"AESA radar, EGI, 데이터링크(Link-16)","Quantum Timing and Sensing, AESA radar, Stealth coating, AI/ML algorithms",2019-03,6.1,data_match,high,"The Korean core technology includes AESA radar, which is a type of radar technology that is also used in the US. The US technology list includes 'AESA radar' as one of the key technologies, so this is a direct match."
초거대 AI 인프라,2024-08,기타,초거대 AI 인프라,Artificial Intelligence for Military Logistics and Maintenance,2018-06,6.2,data_match,high,"Both technologies are focused on AI/ML infrastructure for military/defense applications, which is a reasonable match."
전기 수직이착륙기(eVTOL) 블랙플라이,2024-08,항공/공군,전기 수직이착륙기(eVTOL),Medium-sized unmanned aerial vehicles (UAVs),2022-12,1.7,data_match,high,"The Korean technology 'electric vertical take-off and landing (eVTOL)' is a type of vertical take-off and landing (VTOL) aircraft, which is similar to the US technology of 'Medium-sized unmanned aerial vehicles (UAVs)'. Both technologies are in the aviation/air force domain."
ULTRA 정찰 무인기,2024-05,항공/공군,ULTRA 정찰 무인기,Skyborg,,,data_match,high,"Skyborg is a US technology for autonomous drone systems, which is likely similar in capability to the ULTRA reconnaissance drone mentioned in the Korean technology."
CFM LEAP 엔진,2024-07,항공/공군,CFM LEAP 엔진,Rotating Detonation Engines (RDEs),2012-11,11.7,data_match,high,"The CFM LEAP engine is a type of aviation engine, and the Rotating Detonation Engines (RDEs) is a related US technology for aircraft/aerospace propulsion."
MANET 솔루션,2024-07,통신/전자,MANET 솔루션,"Multiple emerging technologies (RF communications, positioning systems, antenna systems, networking, sensor processing)",2020-01,4.5,data_match,high,"The Korean defense technology MANET (Mobile Ad-hoc Network) solution is a communications network system, which is related to the US technology of multiple emerging technologies in the communications and networking domain."
"['아리에테 전차 개량', 'KF-51 판터 공동생산', '신형 링스 보병전투차량']",2024-07,육상/지상,전차/장갑차,"Aegis Ashore radar systems, Global Hawk UAV surveillance systems",2020-08,3.9,data_match,high,"The Korean core technology 'tank/armored vehicle' development and production technology is related to the US technology of Aegis Ashore radar systems and Global Hawk UAV surveillance systems, which are ground-based and aerial vehicle-based sensor and surveillance technologies, respectively, that are compatible with the Korean ground vehicle technology domain."
AQNav,2024-06,항공/공군,AI 기반 항법 시스템,"Autonomy technologies for aircraft, spacecraft, and ground vehicles",2022-09,1.8,data_match,high,"The Korean AI-based navigation system falls under the broader category of autonomy technologies, which is a key area of research and development in the US military as well."
고속철 기술,2008-01,육상/지상,고속철 기술,GPS (Global Positioning System) / Timation satellite navigation,2025-11,-17.8,data_match,high,"The high-speed rail technology from Korea (고속철 기술) is a type of railway transportation technology, which can be considered a match for the GPS/Timation satellite navigation technology from the US list. Both technologies involve advanced transportation and navigation systems."
C-130J 자율비행화,2024-06,항공/공군,자율비행화,Autonomous Attritable Unmanned Air Vehicle (UAV) with Manned-Unmanned Teaming,2020-12,3.5,data_match,high,"The Korean technology 자율비행화 is a type of autonomous flight technology for aircraft, which is similar to the US technology of Autonomous Attritable Unmanned Air Vehicle (UAV) with Manned-Unmanned Teaming. Both technologies involve autonomous flight capabilities for aircraft."
"저궤도 상용위성, 항공기·잠수함용 위성통신 기술, AI 기반 영상관제, 항만·운항지원 모니터링 시스템",2024-06,해상/해군,지능정보기술,Skyborg autonomous aircraft system / AI-driven autonomy development,2020-09,3.8,data_match,high,"The Korean technology 'AI 기반 영상관제' (AI-based image monitoring) appears to be related to the US technology 'Skyborg autonomous aircraft system / AI-driven autonomy development', as both involve the use of AI and autonomous systems for tasks like monitoring and control."
대형 액화 이산화탄소 운반선,2024-06,해상/해군,대형 액화 이산화탄소 운반선,Electrolytic-Cation Exchange Module (E-CEM) for CO2 capture and hydrogen production from seawater,2017-08,6.8,data_match,high,"The Korean technology of a large liquefied carbon dioxide carrier ship is related to the US technology of the Electrolytic-Cation Exchange Module (E-CEM) which can capture CO2 from seawater. Both technologies deal with the capture and handling of carbon dioxide, even though the Korean technology is focused on transportation while the US technology is focused on extraction."
모듈형 드론,2024-12,항공/공군,모듈형 드론,High-performance unmanned air vehicle (UAV) with autonomy-based system,2022-03,2.8,data_match,high,The Korean 'modular drone' technology appears to match the US 'High-performance unmanned air vehicle (UAV) with autonomy-based system' technology. Both are in the domain of drone/UAV technology.
AI 기술을 활용한 선박 사각지대 해소 기술,2024-06,해상/해군,AI 기술을 활용한 선박 사각지대 해소 기술,Unmanned Aerial Vehicle (UAV) remote flight control and autopilot systems,2010-03,14.2,data_match,high,"This US technology is related to autonomous/remote control systems for vehicles, which is similar to the Korean technology for resolving blind spots in ships using AI."
암모니아추진선 신기술,2024-06,해상/해군,암모니아추진선 기술,Shipboard firefighting techniques and equipment,2013-05,11.1,data_match,high,"The Korean technology 'ammonia-propelled ship technology' is a type of environmentally-friendly ship propulsion technology, which can be reasonably matched to the US technology 'Shipboard firefighting techniques and equipment' as they both relate to maritime/naval domain."
열화상 카메라 탑재 드론,2024-09,항공/공군,열화상 카메라 탑재 드론,"Radio Frequency Sensing, Sensor Fusion, Autonomous Aircraft Teaming",,,data_match,high,"The 'thermal camera equipped drone' technology from Korea is related to the 'Radio Frequency Sensing, Sensor Fusion, Autonomous Aircraft Teaming' technology from the US list. Both involve sensor technology and autonomous aircraft/drones, which are closely related."
선박용 고압 직류 송배전 시스템 (MVDC),2024-05,해상/해군,선박용 고압 직류 송배전 시스템 (MVDC),SPY-1 ballistic missile defense radar,2023-05,1.0,data_match,high,"The Korean technology 선박용 고압 직류 송배전 시스템 (MVDC) is a power system technology for ships, which can be matched with the US technology SPY-1 ballistic missile defense radar, which is also a power system technology for naval/maritime applications."
차륜형장갑차,2024-05,육상/지상,차륜형장갑차,Protection materials and computational design codes for armor,2019-10,4.6,data_match,high,"The Korean core technology 'Wheeled Armored Vehicle' is a type of armored vehicle, which matches the US technology 'Protection materials and computational design codes for armor' that focuses on materials and computational design for armor, which is a relevant technology for armored vehicles."
KTX-청룡,2024-04,육상/지상,고속철도,"AH-64 Block III Apache - Engine, Communications, and Command & Control Systems",2011-11,12.4,data_match,high,"The 'high-speed railway vehicle' technology from Korea is a ground-based transportation system, which can be reasonably matched to the various ground vehicle and mobility technologies in the US list, such as the AH-64 Apache helicopter and its associated systems."
ICEYE 합성개구레이더 위성,2018-01,우주,합성개구레이더 위성,Commercial remote sensing satellite systems,2024-10,-6.8,data_match,high,"The Korean technology 합성개구레이더 위성 is a radar satellite for reconnaissance, which matches the US technology of commercial remote sensing satellite systems that can be used for similar purposes."
"AAV(미래비행체), FA-50 단좌형",2031-00,항공/공군,"['미래비행체 (AAV)', 'FA-50 단좌형']",unmanned systems,2024-10,6.2,data_match,high,"The Korean defense technology 'FA-50 단좌형' (FA-50 single-seat fighter) is a manned aircraft, while the US technology 'unmanned systems' covers a range of unmanned aerial vehicles and systems, which would be a reasonable match in terms of technology type and application domain."
AN/SPY-7 이지스 시스템,2027-20,해상/해군,AN/SPY-7 이지스 시스템,F-35 Lightning II,2024-03,4.4,data_match,high,"The AN/SPY-7 Aegis system is a radar system, and the F-35 Lightning II is a US fighter jet that also has advanced radar capabilities, making it a reasonable match for the Korean defense technology."
25cm 초고해상도 첨단 레이다 위성,2024-03,우주,25cm 초고해상도 합성개구레이다 (SAR),3D-printed antenna arrays for radar systems,2021-02,3.1,data_match,high,"The Korean technology of 25cm ultra-high resolution synthetic aperture radar (SAR) is a type of radar system, which can be matched to the US technology of 3D-printed antenna arrays for radar systems. Both involve radar technology, with the Korean one being a specific implementation and the US one being a general technology that could be applicable to it."
해상 원자력 에너지,2024-03,해상/해군,해상 원자력 에너지,submarine technology,2024-11,-0.7,data_match,high,"The Korean core technology 'sea-based nuclear energy' falls under the 'nuclear power' domain, which is related to submarine technology in the US list. Both involve nuclear power systems for maritime/naval applications."
VAMPIRE 시스템,2024-03,육상/지상,뱀파이어 시스템,Electronic Warfare (EW) / Electromagnetic Spectrum Control,2015-02,9.1,data_match,high,"The 'Vampire' system appears to be a weapon system in the ground/land domain, which matches the technology type of 'Electronic Warfare (EW) / Electromagnetic Spectrum Control' from the US technology list. While the specific details of the 'Vampire' system are not provided, the general description of it being a weapon system in the ground/land domain is similar enough to the broad category of 'Electronic Warfare' to consider it a reasonable match."
"['F-15EX', '777X']",2024-02,항공/공군,"777X, F-15EX","Autonomous Aircraft Teaming Architecture, GPS Alternative Navigation, Networked Collaborative Autonomous Weapons Systems",,,data_match,high,"The Korean technologies 777X and F-15EX are aircraft, which fall under the 'military aircraft' category. The US technology 'Autonomous Aircraft Teaming Architecture, GPS Alternative Navigation, Networked Collaborative Autonomous Weapons Systems' is related to advanced autonomous and networked technologies for military aircraft, making it a suitable match."
힘센엔진(HiMSEN),2001-01,해상/해군,힘센엔진(HiMSEN),Gas turbine engine design and modification,2024-04,-23.2,data_match,high,"The Korean 'HiMSEN' engine technology is a type of gas turbine engine, which matches the description of the US technology."
고고도 정찰용무인항공기 RQ-4B,2023-01,항공/공군,고고도 정찰용무인항공기 RQ-4B,unmanned systems,2024-10,-1.8,data_match,high,"The Korean technology 'RQ-4B' is a high-altitude unmanned aerial vehicle (UAV), which matches the 'unmanned systems' technology in the US list."
"AAM(Advanced Air Mobility, 미래항공모빌리티)",,항공/공군,"AAM(Advanced Air Mobility, 미래항공모빌리티)",military helicopters,,,data_match,high,"The Korean AAM (Advanced Air Mobility) technology is a motor technology in the aviation/air force domain, which is broadly related to US military helicopter technologies."
무선통신기반 차상 열차 자동제어시스템 (KTCS-2),2023-10,육상/지상,무선통신기반 차상 열차 자동제어시스템 (KTCS-2),TIMATION (Satellite Timing and Navigation Technology) / GPS (NAVSTAR-Global Positioning System),2010-03,13.6,data_match,high,"The Korean core technology, 무선통신기반 차상 열차 자동제어시스템 (KTCS-2), is a train control system that uses wireless communication. This matches the US technology TIMATION/GPS, which is a satellite-based navigation and timing system that can be used for various transportation applications, including train control."
장거리 배회 자폭드론,2023-12,항공/공군,장거리 배회 자폭드론,SSKW (Small Tactical Autonomous Weapon System) - autonomous UAS with autopilot control,,,data_match,high,The Korean 'long-range loitering suicide drone' matches the US 'autonomous UAS with autopilot control' in terms of being an unmanned aerial system (UAS/drone) with autonomous capabilities.
