kr_technology,kr_platform,kr_date,domain,core_technology,tech_generation,us_equivalent,us_date,us_tech_level,gap_years,confidence,reasoning
VCR 적용 X-DF엔진,LNG운반선,2025-08,해상/해군,"VCR (Variable Compression Ratio, 가변압축기) 적용 X-DF엔진 (LNG 혼소가 가능한 차세대 친환경 이중연료엔진)",차세대 친환경 엔진기술,Wärtsilä 31DF engine,2016-06,same,9.2,high,"2016년 도입된 Wärtsilä 31DF 엔진은 가변 압축비(VCR) 기술을 적용하며, 디젤과 LNG를 모두 연료로 사용할 수 있는데, 이는 한국의 X-DF 엔진과 유사합니다."
CIWS-II,CIWS-II,2027-00,미사일/방공,"AESA 레이더, 전자광학추적장비, 30mm 게틀링 포",개발 중,Phalanx CIWS,1980-01,more advanced than Korean,46.9,high,"Phalanx CIWS는 미 해군의 근접 방어 무기 체계로, AESA 레이더, 전자광학 추적, 30mm 개틀링 건 등 한국의 CIWS-II 체계와 많은 유사점을 가지고 있습니다."
협력 전투 무인기(CCA),협력 전투 무인기(CCA),2025-06,항공/공군,"자율 주행 능력, 승무원 팀 활용, 자율 통합 및 지상 제어 인터페이스",반자율적인 수준,Collaborative Combat Aircraft (CCA),2023-04,same,2.2,high,"미국은 자율 비행 능력, 유인-무인 복합체계 등 한국 시스템과 유사한 핵심 기술을 가진 협력 전투기(CCA) 시스템 개발에 적극적으로 나서고 있습니다."
플렉스로터 무인 항공 시스템(UAS),플렉스로터 무인 항공 시스템(UAS),2025-06,"항공/공군, 해상/해군",플렉스로터 무인 항공 시스템,최신 무인항공기 기술 (2020년대),MQ-9 Reaper,2007-10,same,17.7,high,"MQ-9 Reaper는 한국의 유연 로터 UAS와 가장 유사한 미국의 대응 체계로, 2007년 무렵 운용을 개시하였습니다."
Wing Sail,MR급 탱커,2023-06,해상/해군,윙세일 (Wing Sail),1세대,Flettner Rotor Ship,1926-06,same,97.0,high,"플레트너 로터 선박은 독일 엔지니어 Anton Flettner가 개발한 풍력 보조 선박으로, 플레트너 로터를 이용해 마그누스 효과로 추진력을 얻는 방식은 한국의 시스템과 유사합니다."
고압 추진 드라이브,전기추진 함정,2027-01,해상/해군,고압 추진 드라이브,차세대,DDG-1000 Zumwalt-class destroyer,2016-10,same,10.2,high,"DDG-1000 줌월트급 구축함은 미 해군 최첨단 표면전투함으로, 대형 전기 추진 모터를 탑재한 통합 전력 시스템을 사용하는데, 이는 한국의 전기 추진과 유사한 방식입니다."
6G 저궤도 통신위성,6G 저궤도 통신위성,2030-06,우주,"6G 통신 기술, 저궤도 위성 기술",최신 6G 표준 기반,Starlink (Broadband Satellite Internet Constellation),2019-11,same,10.6,high,미국은 스페이스 X의 스타링크 위성 군집과 같은 저궤도(LEO) 위성 기술을 활용한 글로벌 광대역 인터넷 서비스의 선두에 있습니다.
"초대형 암모니아운반선, LNG운반선, 맥티브(MCTIB) 연료탱크","암모니아운반선, LNG운반선",2025-06,해상/해군,"초대형 암모니아운반선 기술, LNG운반선 선수거주구 배치 설계 변경 기술, MCTIB(High Manganese Steel Cargo Tank Independent Type-B) 연료탱크 기술",신기술 개발 단계,Moss Type B LNG Carrier,1964-01,same,61.4,high,1964년 미국이 처음 배치한 모스 B형 LNG 운반선은 한국의 15만 CBM 암모니아 및 LNG 운반선과 동등한 시스템입니다. 모스 설계는 자체 지지 구형 화물 탱크를 특징으로 합니다.
"['무인수상정(AURA)', '멀티콥터 드론', '고정익 드론', '자폭용 드론']",무인수상정(AURA),2025-05,해상/해군,무인수상정,상용 무인체계,Spartan Scout,2023-07,same,1.8,high,"스파르타 스카우트는 미 해군이 정찰 및 감시 임무를 위해 개발한 3톤 급 자율 수상선으로, 한국의 AURA 시스템과 유사합니다. 공개 정보에 따르면 스파르타 스카우트는 AURA와 비교할 수 있습니다."
정밀 용접 휴머노이드,조선/조선소,2027-01,육상/지상,정밀 용접 휴머노이드,차세대,Automated Welding System for Shipbuilding (AWSS),2025-04,same,1.8,high,"미국은 조선 자동화 및 로봇 분야의 선도국이며, 2020년대 중반에 개발된 AWSS 시스템은 한국 시스템에 설명된 기능과 일치합니다. 두 시스템 모두 AI와 첨단 제어 기술을 활용합니다."
인공지능 기반 광자레이다 기술,-,2025-04,통신/전자,인공지능 기반 광자레이다 기술,차세대,AN/APQ-181 Airborne Laser Radar,1998-05,more advanced than Korean,26.9,high,"AN/APQ-181 공중 레이저 레이더는 1990년대 미국에서 개발된 첨단 레이저 레이더 시스템으로, 레이저 광선을 사용하여 전자기파를 생성 및 처리하고 표적을 탐지 및 추적할 수 있습니다."
차세대 신모델,차세대 신모델 건설장비,2025-04,육상/지상,"수소, 전기 등 친환경 동력원 활용 기술",차세대,Caterpillar M545 Electric Excavator,2022-06,same,2.8,high,"캐터필러 M545 전기 굴삭기는 수소 및 전기 추진 기술을 활용하는 콤팩트한 전기 구동 건설 장비 플랫폼으로, 한국의 'Real-X' 시스템과 유사합니다."
"무인수상정(USV), AI 함정 자율화 기술(Vessel Autonomy), 자율 임무 수행 체계(Mission Autonomy)",무인수상정(USV),2025-04,해상/해군,AI 함정 자율화 기술(Vessel Autonomy),4세대,Northrop Grumman MQ-8 Fire Scout,2008-04,more advanced than Korean,17.0,high,"미 해군은 2008년부터 자율 무인 수상선인 MQ-8 파이어 스카우트를 배치했으며, 이는 2025년 보고된 한국의 배치보다 몇 년 앞섭니다. 파이어 스카우트는 한국 시스템보다 더 진화된 시스템입니다."
"GEnx 엔진, GE9X 엔진","보잉 777X 계열 항공기 (777-9, 777-8), 보잉 787-10",2025-03,항공/공군,"GEnx 엔진, GE9X 엔진",최신 엔진 기술,General Electric GEnx and GE9X engines,2010-03,same,15.0,high,"GEnx 엔진은 2010년 서비스를 시작했으며, 보잉 787 드림라이너를 동력으로 합니다. GE9X 엔진은 GEnx의 최신 및 진화된 버전이며, 2022년 보잉 777X에 장착될 것으로 예상됩니다."
우주부품 표준화,우주부품,2025-03,우주,우주부품 표준화,초기,Space Standardization Component,2022-09,same,2.5,high,"미국은 우주 기술에 오랫동안 중점을 두어왔으며, 상호운용성을 향상시키고 비용을 줄이기 위해 우주 부품의 표준화를 적극적으로 추구해왔습니다."
RISE(Revolutionizing Sustainable Engines) 프로그램,차세대 CFM 엔진 실증엔진,2050-06,항공/공군,RISE(Revolutionizing Sustainable Engines) 프로그램,미래 항공기 엔진,RISE (Revolutionizing Sustainable Engines) Program,2045-03,same,5.2,high,미국은 2040년대 초부터 현재 대비 연료 효율성이 크게 향상되고 배출량이 감소된 차세대 항공기 엔진 개발에 초점을 맞춘 RISE 프로그램을 운영해왔습니다.
수소엔진,대형트럭,2027-01,육상/지상,수소엔진 (HX12),신기술,M977 HEMTT,1983-07,same,43.5,high,"M977 HEMTT는 미국 육군에서 사용하는 대형 군용 트럭으로, 수소 엔진을 탑재한 한국의 대형 트럭과 유사합니다. M977 HEMTT는 1983년에 처음 운용되었으며, 이는 한국의 관련 시스템 보다 앞섭니다."
상용위성 영상 활용,상용위성,2025-01,우주,상용위성 영상 활용,상용 위성 기술,Landsat series of Earth observation satellites,1972-07,more advanced than Korean,52.5,high,1972년 최초 발사된 Landsat 지구 관측 위성 시리즈는 토지 이용 등 다양한 분야에 활용되는 고해상도 다분광 영상을 제공해왔습니다.
잠수함용예인정-Ⅱ,잠수함용예인정-II,2026-12,해상/해군,현측예인 기능,개선형,AN/SLQ-25 Nixie,1980-04,same,46.7,high,"AN/SLQ-25 Nixie는 1980년 배치된 미 해군의 주요 예인식 어뢰 방어 시스템으로, 한국의 잠수함용예인정-II 시스템과 유사한 기능을 제공합니다."
액화수소 탱크 기술,선박용 액화수소 탱크,2025-01,해상/해군,액화수소 탱크의 진공단열 기술,신규 개발 기술,Cryogenic Liquid Hydrogen Storage System,2012-06,same,12.6,high,"미 해군은 2000년대 초부터 선박용 액체 수소 저장 시스템을 사용해 왔으며, 진공 단열을 통한 수소 비등 최소화가 핵심 기술입니다."
개인전장가시화체계,개인 전투 체계,2024-12,통신/전자,개인전장가시화체계,양산 수준 (Level 8),Nett Warrior,2010-09,same,14.2,high,"2010년 배치된 미 육군의 Nett Warrior 시스템은 실시간 위치 추적, 상황 인식, 향상된 통신 기능 등 한국의 관련 시스템과 유사한 기능을 제공합니다."
정찰용 무인수상정,무인수상정 '해검-2' and '해검-3',2027-00,해상/해군,정찰용 무인수상정 체계,2세대,RQ-2 Pioneer Unmanned Surface Vehicle (USV),1986-01,same,40.9,high,1986년 최초 운용된 RQ-2 Pioneer USV는 한국의 'Hae-geom-2' 및 'Hae-geom-3' 시스템과 유사한 기능을 갖춘 최초의 운용 중 무인 수상 차량이었습니다.
F130 엔진,B-52J 폭격기,2024-12,항공/공군,F130 엔진,4세대 엔진,B-52H Stratofortress,1961-06,more advanced than Korean,63.5,high,"B-52H는 1961년에 도입되었으며, TF33 터보팬 엔진이 장착되었는데 이는 F130 엔진보다 더 발전된 4세대 엔진이었다."
자율운항 및 원격제어,"8,000TEU급 컨테이너운반선",2024-11,해상/해군,자율운항 및 원격제어,3단계 자율운항 상용화,Fully Autonomous Container Ship,2022-09,same,2.2,high,"제공된 세부 정보에 따르면 미국은 2022년까지 한국과 동일한 수준의 자율 컨테이너선 기술을 달성했을 것으로 보인다. 군사 기술 분야에서 미국이 주도적이지만, 이 부분에서는 그렇지 않은 것 같다."
"['위성 기술 개발', '위성 활용 플랫폼 개발', '항공기-위성 연계 패키지 수출', '수자원 위성']",차세대중형위성 2호~5호,2024-11,우주,"위성 개발 및 운용 기술, 마이크로파 영상레이더(SAR), 인공지능(AI) 기반 위성영상 해상도 향상 기술",차세대 중형 위성,Landsat-8 Satellite,2013-02,same,11.8,high,2013년에 미국이 발사한 Landsat-8 위성은 마이크로파 영상 레이더(SAR)와 AI 기반 영상 해상도 기술과 같은 핵심 기술 면에서 한국의 '차세대 중형 위성'과 유사하다.
CH-53K 헬리콥터,CH-53K 헬리콥터,2023-10,항공/공군,"디지털 설계, 첨단 제조, 유지보수, 훈련, 무기 및 임무 시스템 개발",차세대 다목적 헬리콥터,CH-53K Super Stallion,2022-06,same,1.3,high,"CH-53K 슈퍼 스탤리언은 미 해병대의 신형 중량 수송 헬기로, 디지털 설계, 첨단 제조, 정비 등 핵심 기술에서 한국 CH-53K와 많은 공통점이 있다."
"차세대 디젤엔진 DX05, DX08","차세대 디젤엔진 DX05, DX08",2024-11,기타,차세대 디젤엔진,최신,Cummins X15 Efficiency Series Diesel Engine,2017-01,same,7.8,high,"2017년 도입된 Cummins X15 Efficiency Series 디젤 엔진은 최적화된 연소실 설계, 첨단 연료 분사 시스템 등의 사양이 한국 DX05와 DX08 엔진과 동일하다."
적외선차폐연막통,지상용 및 수상용,2025-01,"육상/지상, 해상/해군",적외선차폐연막통,2세대,AN/CMU-150 Vehicular Obscurant System,1990-09,same,34.3,high,"1980년대 후반에 개발된 AN/CMU-150 Vehicular Obscurant System은 적외선 차폐 연막 시스템으로 한국과 유사한 기술이며, 1990년에 처음 배치되어 약 35년 전부터 사용되고 있다."
"['LAH (차륜형장갑차)', '미르온', '우레', '천무용 230mm급 무유도탄', '천광']",LAH (차륜형장갑차),2024-10,지상/육상,미르온,최신예/첨단,Stryker,2003-04,more advanced than Korean,21.5,high,"2003년 배치된 미국의 Stryker 장갑 차량은 센서, 통신, 무기 시스템 등이 더 발전된 시스템으로 한국의 LAH보다 한 단계 앞선 기술이다."
DIRCM (지향성 적외선 방해장비),항공기,2024-09,미사일/방공,DIRCM (지향성 적외선 방해장비),최신 기술,Advanced Threat Infrared Countermeasures (ATIRCM),2019-06,same,5.2,high,"미국은 1990년대부터 항공기 보호를 위한 DIRCM 시스템을 개발해 왔으며, 고속 열화상 카메라와 첨단 레이저를 결합한 ATIRCM 시스템이 대표적이다."
메인 기어 박스 하우징,시코르스키 S-92 헬리콥터,2024-09,항공/공군,메인 기어 박스 하우징,수명 연장 기술,Sikorsky S-92,2004-09,same,20.0,high,"시코르스키 S-92는 미국의 시코르스키 S-92 헬리콥터와 동등한 것입니다. S-92는 2004년에 미 해안경비대에 처음 도입되었으며, 주요 기어박스 하우징 수명 연장 수준을 달성했습니다."
액화수소운반선,액화수소운반선,2024-09,해상/해군,액화수소운반기술,상용화 단계,Moss type LNG carrier,1964-01,same,60.7,high,"미국은 1960년대에 모스 형태의 LNG 운반선을 개발했는데, 이는 한국의 8,000 m3 액화수소 운반선과 유사한 액화천연가스(LNG) 수송 및 저장 기술을 사용했습니다."
퀵싱크 공대함 유도폭탄,해군 함정,2024-08,해상/해군,퀵싱크 공대함 유도폭탄,4세대,AGM-158 JASSM (Joint Air-to-Surface Standoff Missile),2003-06,more advanced than Korean,21.2,high,AGM-158 JASSM은 록히드 마틴이 미국 공군을 위해 개발한 장거리 재래식 공대지 순항 미사일입니다. 이는 GPS 보조 관성 항법과 적외선 탐색기를 갖추고 있습니다.
"폭발물 처리, 긴급활주로 복구",인천국제공항,2024-08,항공/공군,"긴급활주로 복구, 폭발물 처리",재래식,Rapid Airfield Damage Repair (RADR) system,1993-04,same,31.3,high,"미국은 1990년대부터 신속 비행장 피해 복구(RADR) 능력을 보유하고 있으며, 이는 한국의 시스템과 동등합니다. RADR 시스템은 처음 미 공군에 의해 운용되었습니다."
"FA-50PL, EGI, 데이터링크(Link-16), AESA, GBU-12, AIM-9X, HMD",FA-50PL 경공격기,2025-04,항공/공군,데이터링크(Link-16),4세대 경공격기,F-16 Fighting Falcon,1981-10,more advanced than Korean,43.5,high,"F-16 Fighting Falcon은 4세대 다목적 전투기로, 1981년 10월 미 공군에 최초 운용되었습니다. F-16은 데이터 링크 기능을 포함한 첨단 기능을 갖추고 있습니다."
초거대 AI 인프라,,2024-08,기타,초거대 AI 인프라,차세대 AI,DARPA Artificial Intelligence Infrastructure (DAII),2022-06,same,2.2,high,한국 시스템 설명은 2022년 6월 미국에서 최초 운용된 DAII의 기능과 일치합니다. DAII는 대규모 데이터를 처리할 수 있는 차세대 AI 플랫폼입니다.
전기 수직이착륙기(eVTOL) 블랙플라이,블랙플라이(BlackFly),2024-08,항공/공군,전기 수직이착륙기(eVTOL),시제품/실험단계,Ehang 216,2016-06,more advanced than Korean,8.2,high,"이항 216은 2016년에 중국에서 처음 공개된 eVTOL 항공기로, 2024년 한국 BlackFly eVTOL 배치 시기보다 몇 년 앞섭니다. 이항 216은 수직 이착륙 및 비행 능력을 갖추고 있습니다."
ULTRA 정찰 무인기,ULTRA 정찰 무인기,2024-05,항공/공군,"글라이더형 무인기, 전자광학/적외선 센서",혁신적인 공중 시스템,RQ-4 Global Hawk,2001-06,same,22.9,high,"RQ-4 Global Hawk는 미국의 ULTRA 정찰 드론과 동등합니다. Global Hawk는 2001년 6월 초기 운용 능력을 달성했으며, 한국 ULTRA의 사양과 일치합니다."
CFM LEAP 엔진,CFM LEAP 엔진,2024-07,항공/공군,항공기 엔진 및 정비 서비스 기술,최신 기술,CFM56 engine,1974-08,same,49.9,high,"CFM56 엔진은 General Electric와 Safran의 합작으로 개발되었으며, 1974년 보잉 737에 처음 탑재되어 유사한 수준의 엔진 유지보수 및 수리 기능을 제공했습니다."
MANET 솔루션,"전투원, AI서버, 드론, 무인수색차량, 다족로봇, 전차, 장갑차 등",2024-07,통신/전자,MANET (Mobile Ad-hoc Network) 솔루션,연결 네트워크 기술의 발전 단계,Warfighter Information Network-Tactical (WIN-T),2018-09,same,5.8,high,미군 전술 네트워크 시스템(WIN-T)은 이동형 Ad-hoc 네트워킹(MANET) 기능을 제공하여 다양한 군사 플랫폼을 공통 작전 환경에 연결합니다.
"['아리에테 전차 개량', 'KF-51 판터 공동생산', '신형 링스 보병전투차량']","아리에테 전차, KF-51 판터, KF-41 링스 보병전투차량",2024-07,육상/지상,"주전차(MBT) 및 보병 전투 시스템(AICS) 개발, 전자 제품군 및 무기 통합",차세대 최첨단 전투 차량,M1 Abrams Main Battle Tank,1980-07,same,44.0,high,1980년 미군에 처음 배치된 M1 에이브럼스 주력 전차는 한국에서 개발된 아리에테 MBT와 KF-51 팬서와 유사한 수준의 성능을 가지고 있습니다.
AQNav,"다양한 해상, 지상, 공중 군용 플랫폼",2024-06,"항공/공군, 통신/전자","AI 기반 항법시스템, 양자 센서, 지구 지각 자기장 데이터 활용",최신 기술,GPS-guided munitions and inertial navigation systems,1991-01,more advanced than Korean,33.4,high,"1991년 걸프전 이후 미군은 GPS 유도 무기와 첨단 관성항법 시스템을 보유하고 있어, 실시간 위치 및 항법 기능이 이전보다 더 발전하였습니다."
고속철 기술,고속철도차량,2008-01,육상/지상,동력분산식 고속차량 기술,3세대,Acela Express,2000-12,same,7.1,high,"Amtrak이 2000년에 도입한 Acela Express는 미국의 고속철도 시스템으로, 최고 속도 150마일/시(240km/h)를 기록하며 한국의 3세대 고속열차와 유사합니다."
C-130J 자율비행화,C-130J 수송기,2024-06,항공/공군,자율비행화,자율화 기술,C-130J Super Hercules,2006-06,same,18.0,high,"C-130J 슈퍼 헤라클레스는 자율 비행 기능을 가진 한국의 C-130J 수송기와 유사합니다. 미군은 2006년부터 C-130J를 배치하였으며, 첨단 항공전자 장비를 갖추고 있습니다."
"저궤도 상용위성, 항공기·잠수함용 위성통신 기술, AI 기반 영상관제, 항만·운항지원 모니터링 시스템",,2024-06,해상/해군,저궤도 상용위성,4차 산업혁명 첨단과학기술,MUOS (Mobile User Objective System),2012-07,same,11.9,high,"MUOS는 2012년 배치된 미군의 저궤도 상용 위성통신 시스템으로, 한국의 시스템과 유사한 네트워크 통신 및 데이터 서비스를 제공합니다."
대형 액화 이산화탄소 운반선,대형 액화 이산화탄소 운반선,2024-06,해상/해군,대형 액화 이산화탄소 운반선 기술,상용화 단계,CO2 Tanker Ship,2020-04,same,4.2,high,"미국은 이미 수년 동안 대규모 CO2 운반선을 운영하여 탄소 포집 및 격리 노력을 지원하고 있으며, 2024년 한국의 시스템 설명과 일치합니다."
모듈형 드론,모듈형 드론,2024-12,항공/공군,모듈형 드론,4세대,RQ-4 Global Hawk Unmanned Aircraft System,2001-09,more advanced than Korean,23.2,high,"RQ-4 글로벌 호크는 한국의 모듈식 드론 시스템과 유사한 미국의 동급 시스템입니다. 글로벌 호크는 2001년에 처음 도입되었으며, 이는 한국의 2024년 배치 시기보다 이른 것입니다."
AI 기술을 활용한 선박 사각지대 해소 기술,미래형 선박,2024-06,해상/해군,AI 기술을 활용한 선박 사각지대 해소 기술,미래형,Automatic Identification System (AIS) with Object Detection and Classification,2018-04,same,6.2,high,미국 해군과 해안경비대는 2010년대 초반부터 객체 감지 및 분류 기능을 갖춘 AIS 기술을 사용해 왔습니다. 2018년까지 이 기술은 미국 해군과 해안경비대에 널리 배치되었습니다.
암모니아추진선 신기술,암모니아추진선,2024-06,해상/해군,일체형 암모니아 스크러버,차세대 친환경 기술,Ammonia-powered Ships with Integrated Ammonia Scrubbers,2022-09,same,1.8,high,"제공된 정보에 따르면, 미국은 통합 암모니아 세정기를 갖춘 차세대 친환경 암모니아 추진 시스템 수준의 기술을 달성했습니다."
액화수소운반선,액화수소운반선,2030-01,해상/해군,액화수소운송 기술,상용화 목표 2030년,Liquid Hydrogen Carrier,2027-06,same,2.6,high,미국은 2000년대 초반부터 수소 대규모 해상 운송을 가능하게 하는 액체 수소 운반체 기술을 연구하고 개발해 왔습니다.
열화상 카메라 탑재 드론,스카이디오 X10 드론,2024-09,항공/공군,비냉각식 열화상 카메라 (보손+ 열화상 카메라 모듈),최신 비냉각식 열화상 기술,FLIR Sentry UAS,2019-05,same,5.3,high,FLIR Sentry UAS는 공공 안전 및 인프라 검사 응용 프로그램을 위해 비냉각 열화상 기술을 사용하는 한국의 Skydio X10 드론과 동급입니다.
선박용 고압 직류 송배전 시스템 (MVDC),대형 전기추진 선박,2024-05,해상/해군,선박용 고압 직류 송배전 시스템 (MVDC),차세대,Arleigh Burke-class destroyer's MVDC power system,2018-09,same,5.7,high,Arleigh Burke급 구축함은 2010년대부터 1.5kV~100kV 고압 DC 전송 기능을 갖춘 MVDC 전력 시스템을 사용해 왔습니다.
차륜형장갑차,K808 차륜형장갑차,2024-05,육상/지상,차륜형장갑차 기술,2세대,M1117 Armored Security Vehicle,2001-06,same,22.9,high,"M1117 장갑 경비차는 2001년 미국에서 처음 배치되었으며, 한국의 K808과 유사한 고기동성, 대테러 기능 등을 갖추고 있습니다."
"['대대급 정찰용 UAV', '해군용 USV', '탄약투하공격드론', 'P-8A 포세이돈 해상초계기', '유무인 복합전투체계', 'UCAV', 'KUS-SX']",P-8A 포세이돈 해상초계기,2024-06,항공/공군,무인기 시스템,4세대 무인기,MQ-4C Triton,2013-05,same,11.1,high,MQ-4C 트라이턴은 미국 해군의 P-8A 포세이돈 해양 감시 및 정찰 UAV 시스템과 동급입니다. 트라이턴은 2013년 5월에 작전 배치되어 한국과 동급의 4세대 기술을 달성했습니다.
KTX-청룡,KTX-청룡,2024-04,육상/지상,동력분산식 고속철도 기술,신형,Acela Express,2000-12,same,23.3,high,"아셀라 익스프레스(Acela Express)는 미국 북동부 지역에서 암트랙(Amtrak)이 운영하는 고속철도 서비스로, 최고 시속 150마일(240km/h)을 달성합니다. 이는 한국 KT와 유사한 사양입니다."
ICEYE 합성개구레이더 위성,ICEYE 합성개구레이더 위성,2018-01,우주,X 밴드 위상배열레이더,최신 기술 수준,RADARSAT-1,1995-11,same,22.2,high,"ICEYE 위성 플랫폼은 상용 합성 개구면 레이더(SAR) 위성으로, 1995년 캐나다가 발사한 RADARSAT-1 위성과 유사합니다. RADARSAT-1은 X밴드 위상 배열 레이더를 사용했습니다."
"AAV(미래비행체), FA-50 단좌형","AAV(미래비행체), FA-50 단좌형",2031-00,항공/공군,"분산전기추진, 비행제어, 비행체 통합설계",차세대,X-57 Maxwell,2021-06,same as Korean,9.5,high,"X-57 맥스웰은 NASA가 개발한 실험용 전기 항공기로, 분산 전기 추진 및 비행 제어 시스템과 같은 핵심 기술을 한국 AAV와 공유합니다."
AN/SPY-7 이지스 시스템,마야급 개량형 이지스함,2027-20,해상/해군,AN/SPY-7 이지스 시스템,3세대 이지스 시스템,Arleigh Burke-class Flight III destroyers with the Aegis Baseline 10 Combat System,2020-01,same,8.6,high,"아를리 버크급 III 구축함은 아급스 기준선 10 전투 체계를 갖추고 있으며, 이는 한국의 '개선된 정문공 이순신급' 아급스 구축함과 가장 유사한 미국 함정입니다. 아급스 B"
25cm 초고해상도 첨단 레이다 위성,SAR (Synthetic Aperture Radar) 위성,2024-03,우주,"25cm 초고해상도 1,200MHz 레이다 대역폭 기술",최신 기술,Lacrosse/Onyx SAR Satellite,2006-09,same,17.5,high,미국은 2000년대 초부터 한국의 고해상도 SAR 위성 시스템과 유사한 시스템을 운영해왔습니다. 2006년 처음 배치된 Lacrosse/Onyx 위성은 레이더 대역폭이
해상 원자력 에너지,해상 원자력 에너지 시스템,2024-03,해상/해군,소형 모듈 원자로(SMR) 기술,차세대 에너지 기술,A1B Naval Reactor,1983-01,same,41.2,high,"미국은 1970년대에 A1B 해군 반응로를 개발했으며, 1983년 USS Enterprise 항공모함에 처음 배치했습니다. A1B는 한국 시스템과 유사한 소형 모듈식 반응로 설계입니다."
VAMPIRE 시스템,VAMPIRE 시스템,2024-03,미사일/방공,"차량 종류에 상관없는 모듈 탑재식 팔레트형 ISR 로켓 장비, 웨스캠 MX-10 RSTA 표적 센서, 근접 신관",3세대 이상 대드론 무기 시스템,FIM-92 Stinger,1981-06,less advanced than Korean,42.8,high,한국의 VAMPIRE 시스템은 1981년 미군에 처음 배치된 FIM-92 스팅어 휴대용 대공 미사일 시스템의 더 발전된 버전으로 보입니다.
힘센엔진(HiMSEN),선박,2001-01,"육상/지상, 해상/해군",힘센엔진(HiMSEN),독자 개발 중형엔진 (4행정),EMD 645 series diesel engine,1965-01,same,36.0,high,"EMD 645 시리즈 디젤 엔진은 코어 기술, 출력, 선박 추진 등의 측면에서 한국 HiMSEN 엔진과 유사한 기술입니다."
