kr_technology,kr_date,domain,core_technology,us_technology,us_date,gap_years,match_type,confidence,reason
"['위성 기술 개발', '위성 활용 플랫폼 개발', '항공기-위성 연계 패키지 수출', '수자원 위성']",2024-11,우주,위성 기술 개발,Reinforcement Learning Control System for Autonomous Space Robotics (APIARY),2025-12,-1.1,data_match,high,"'위성 시스템, 위성 활용 플랫폼 및 항공기-위성 연계 기술'이라는 한국의 기술은 우주 기술 분야에 속하며, 이는 미국 기술 '자율 우주 로봇 강화 학습 제어 시스템(APIARY)'과 합리적으로 부합합니다. 두 기술 모두 우주 시스템과 로봇 기술과 관련이 있습니다."
CH-53K 헬리콥터,2023-10,항공/공군,CH-53K 헬리콥터,"Unmanned Systems, Advanced Helmets, Satellite Technology",2015-05,8.4,data_match,high,"CH-53K 헬리콥터는 회전익 항공기로, 제공된 미국 기술 목록의 '무인 시스템' 범주에 속합니다. 또한 미국 기술에는 고급 헬멧 및 위성 기술이 포함되어 있어 CH-53K 헬리콥터에 관련될 수 있습니다."
"차세대 디젤엔진 DX05, DX08",2024-11,육상/지상,차세대 디젤엔진,Polymerized Liquid Metal Networks (PLMN),2019-10,5.1,data_match,high,"한국의 핵심 기술 '차세대 디젤엔진'은 엔진 기술의 한 종류로, 이는 미국의 기술 '중합 액체 금속 네트워크(PLMN)'와 합리적으로 부합될 수 있습니다. 두 기술 모두 엔진/추진 관련 기술이지만 구체적인 응용 분야는 다를 수 있습니다."
적외선차폐연막통,2025-01,지상,적외선차폐연막통,RADAR,1922-09,102.3,data_match,high,"한국 기술 '적외선 차폐 연막'은 연막 발생기 또는 연막 발생기의 한 종류로, 방어/은폐 기술에 해당합니다. 이는 레이더와 같은 센서 기술을 사용하는 방어 및 감시 분야와 일치합니다."
"['LAH (차륜형장갑차)', '미르온', '우레', '천무용 230mm급 무유도탄', '천광']",2024-10,육상/지상,"['LAH (차륜형장갑차)', '미르온', '우레', '천무용 230mm급 무유도탄', '천광']",NASAMS MKII (National Advanced Surface-to-Air Missile System Mark II),,,data_match,high,"NASAMS MKII는 중거리 방공 시스템으로, 한국의 '천무공 230mm 비유도 로켓'이라는 로켓 발사기와 부합되는 기술로 간주될 수 있습니다."
"친환경 연료 육상시험시설(Land Based Test Site: LBTS), 잠수함용 리튬이온 에너지저장장치(ESS), 수소연료전지기반의 공기불요추진체계(AIP)",,해상/해군,"['친환경 연료 육상시험시설(LBTS)', '잠수함용 리튬이온 에너지저장장치(ESS)', '수소연료전지기반의 공기불요추진체계(AIP)']",Electronic Warfare (EW) Systems - Electro-optic/Infrared and Radio Frequency Countermeasures,2012-01,,data_match,high,한국 기술 '수소-연료전지 기반 공기 독립 추진 시스템(AIP)'은 미국 기술 '전자전(EW) 시스템 - 전자광학/적외선 및 무선 주파수 방해책'과 일치합니다. 두 기술 모두 방위 분야의 추진 및 전력 시스템과 관련이 있습니다.
DIRCM (지향성 적외선 방해장비),2024-09,항공/공군,DIRCM (지향성 적외선 방해장비),"missile defense systems, UAV interceptors",2024-04,0.4,data_match,high,"DIRCM(지향성 적외선 방해장비)은 미사일 방어 시스템으로, 미국의 '미사일 방어 시스템, UAV 요격기' 기술과 일치합니다. 기술 유형과 공중/우주 방어 분야가 동일합니다."
메인 기어 박스 하우징,2024-09,항공/공군,메인 기어 박스 하우징,AH-64E transmission system,2013-04,11.4,data_match,high,"주 변속기 하우징은 AH-64E 아파치 헬리콥터의 주요 구성 요소로, 이는 미국의 군사 기술입니다."
액화수소운반선,2024-09,해상/해군,액화수소운반선,Expeditionary Fast Transport,2024-08,0.1,data_match,high,"신속전개수송선은 선박의 한 종류로, 이는 한국의 '액화수소운반선'과 부합되는 미국 기술로 간주될 수 있습니다. 두 기술 모두 해양/해군 분야의 특수 선박/운반 수단입니다."
퀵싱크 공대함 유도폭탄,2024-08,항공/공군,퀵싱크 공대함 유도폭탄,Trophy active protection system,2023-12,0.7,data_match,high,"한국의 기술 퀵싱크 공대함 유도폭탄은 공대지 무기로, 미국 기술 목록의 '트로피 능동 방호 시스템'과 일치합니다. 두 기술 모두 공군/군사 응용 분야의 유도/탄약 무기 영역에 속합니다."
"폭발물 처리, 긴급활주로 복구",2024-08,항공/공군,긴급활주로 복구,"Cloud Computing Infrastructure, Internet of Battlefield Things (IoBT), Artificial Intelligence/Machine Learning",2021-02,3.5,data_match,high,한국의 기술 긴급활주로 복구(Emergency Runway Recovery)는 긴급 상황에 적용할 수 있는 클라우드 컴퓨팅 인프라와 AI/ML 기반 신속 복구 작전과 관련된 미국 기술입니다.
"FA-50PL, EGI, 데이터링크(Link-16), AESA, GBU-12, AIM-9X, HMD",2025-04,항공/공군,"AESA radar, EGI, 데이터링크(Link-16)","Quantum Timing and Sensing, AESA radar, Stealth coating, AI/ML algorithms",2019-03,6.1,data_match,high,"한국의 핵심 기술에는 AESA 레이더가 포함되어 있는데, 이는 미국에서도 사용되는 레이더 기술입니다. 미국 기술 목록에도 'AESA 레이더'가 주요 기술 중 하나로 포함되어 있어 직접적으로 일치합니다."
초거대 AI 인프라,2024-08,기타,초거대 AI 인프라,Artificial Intelligence for Military Logistics and Maintenance,2018-06,6.2,data_match,high,두 기술 모두 군사/국방 분야 AI/ML 인프라에 초점을 맞추고 있어 합리적으로 일치합니다.
전기 수직이착륙기(eVTOL) 블랙플라이,2024-08,항공/공군,전기 수직이착륙기(eVTOL),Medium-sized unmanned aerial vehicles (UAVs),2022-12,1.7,data_match,high,"한국의 기술 '전기식 수직 이착륙(eVTOL)'은 수직 이착륙(VTOL) 항공기의 한 종류로, 미국 기술인 '중형 무인 항공기(UAV)'와 유사합니다. 두 기술 모두 항공/공군 분야에 속합니다."
ULTRA 정찰 무인기,2024-05,항공/공군,ULTRA 정찰 무인기,Skyborg,,,data_match,high,"Skyborg는 미국의 자율 드론 시스템 기술로, 한국의 ULTRA 정찰 드론과 유사한 기능을 가질 것으로 보입니다."
CFM LEAP 엔진,2024-07,항공/공군,CFM LEAP 엔진,Rotating Detonation Engines (RDEs),2012-11,11.7,data_match,high,"CFM LEAP 엔진은 항공기 엔진의 일종이며, 미국 기술인 회전 폭발 엔진(RDE)은 항공기/우주 항공 추진 분야와 관련이 있습니다."
MANET 솔루션,2024-07,통신/전자,MANET 솔루션,"Multiple emerging technologies (RF communications, positioning systems, antenna systems, networking, sensor processing)",2020-01,4.5,data_match,high,"한국의 국방 기술 MANET(Mobile Ad-hoc Network) 솔루션은 통신 네트워크 시스템으로, 미국 기술의 통신 및 네트워킹 분야 다양한 신흥 기술과 관련이 있습니다."
"['아리에테 전차 개량', 'KF-51 판터 공동생산', '신형 링스 보병전투차량']",2024-07,육상/지상,전차/장갑차,"Aegis Ashore radar systems, Global Hawk UAV surveillance systems",2020-08,3.9,data_match,high,"한국의 핵심 기술인 '탱크/장갑 차량' 개발 및 생산 기술은 미국 기술인 Aegis Ashore 레이더 시스템과 Global Hawk UAV 감시 시스템과 관련이 있습니다. 이는 지상 기반 및 항공기 기반 센서 및 감시 기술로, 한국의 지상 차량 기술 분야와 호환됩니다."
AQNav,2024-06,항공/공군,AI 기반 항법 시스템,"Autonomy technologies for aircraft, spacecraft, and ground vehicles",2022-09,1.8,data_match,high,"한국의 AI 기반 내비게이션 시스템은 자율성 기술이라는 더 광범위한 범주에 속하며, 이는 미국 군대에서도 주요 연구개발 분야입니다."
고속철 기술,2008-01,육상/지상,고속철 기술,GPS (Global Positioning System) / Timation satellite navigation,2025-11,-17.8,data_match,high,한국의 고속철 기술은 미국의 GPS/Timation 위성항법 기술과 맞먹을 수 있는 철도 운송 기술의 한 종류이다. 두 기술 모두 첨단 운송 및 항법 시스템을 포함하고 있다.
C-130J 자율비행화,2024-06,항공/공군,자율비행화,Autonomous Attritable Unmanned Air Vehicle (UAV) with Manned-Unmanned Teaming,2020-12,3.5,data_match,high,한국의 자율비행화 기술은 유인-무인 팀 구성의 자율 무인기(UAV) 기술과 유사한 항공기용 자율 비행 기술이다.
"저궤도 상용위성, 항공기·잠수함용 위성통신 기술, AI 기반 영상관제, 항만·운항지원 모니터링 시스템",2024-06,해상/해군,지능정보기술,Skyborg autonomous aircraft system / AI-driven autonomy development,2020-09,3.8,data_match,high,한국의 'AI 기반 영상관제' 기술은 AI와 자율 시스템을 이용한 감시 및 제어 작업과 관련되어 있어 미국의 'Skyborg 자율 항공기 시스템/AI 기반 자율성 개발' 기술과 관련이 있다.
대형 액화 이산화탄소 운반선,2024-06,해상/해군,대형 액화 이산화탄소 운반선,Electrolytic-Cation Exchange Module (E-CEM) for CO2 capture and hydrogen production from seawater,2017-08,6.8,data_match,high,한국의 대형 액화 이산화탄소 운반선 기술은 해수에서 이산화탄소를 포집할 수 있는 전해질-양이온 교환 모듈(E-CEM) 기술과 관련이 있다. 두 기술 모두 이산화탄소의 포집 및 처리와 관련되어 있다.
모듈형 드론,2024-12,항공/공군,모듈형 드론,High-performance unmanned air vehicle (UAV) with autonomy-based system,2022-03,2.8,data_match,high,한국의 '모듈식 드론' 기술은 미국의 '고성능 무인 항공기(UAV)와 자율성 기반 시스템' 기술과 유사하다.
AI 기술을 활용한 선박 사각지대 해소 기술,2024-06,해상/해군,AI 기술을 활용한 선박 사각지대 해소 기술,Unmanned Aerial Vehicle (UAV) remote flight control and autopilot systems,2010-03,14.2,data_match,high,"이 미국 기술은 차량용 자율/원격 제어 시스템과 관련되어 있으며, 이는 한국의 AI를 이용한 선박 사각지대 해결 기술과 유사하다."
암모니아추진선 신기술,2024-06,해상/해군,암모니아추진선 기술,Shipboard firefighting techniques and equipment,2013-05,11.1,data_match,high,"한국의 '암모니아 추진선 기술'은 친환경 선박 추진 기술이며, 미국의 '선박 소방 기술 및 장비' 기술과도 해양/해군 분야에서 관련이 있다."
열화상 카메라 탑재 드론,2024-09,항공/공군,열화상 카메라 탑재 드론,"Radio Frequency Sensing, Sensor Fusion, Autonomous Aircraft Teaming",,,data_match,high,"한국의 '열화상 카메라 장착 드론' 기술은 미국의 '무선 주파수 감지, 센서 융합, 자율 항공기 팀워크' 기술과 관련이 있다."
선박용 고압 직류 송배전 시스템 (MVDC),2024-05,해상/해군,선박용 고압 직류 송배전 시스템 (MVDC),SPY-1 ballistic missile defense radar,2023-05,1.0,data_match,high,"한국의 '선박용 고압 직류 송배전 시스템(MVDC)'은 선박용 전력 시스템 기술이며, 이는 미국의 SPY-1 탄도 미사일 방어 레이더 기술과도 관련이 있다."
차륜형장갑차,2024-05,육상/지상,차륜형장갑차,Protection materials and computational design codes for armor,2019-10,4.6,data_match,high,한국의 핵심 기술인 '차륜형 장갑차'는 미국의 '장갑용 보호 재료 및 계산 설계 코드' 기술과 관련이 있다.
KTX-청룡,2024-04,육상/지상,고속철도,"AH-64 Block III Apache - Engine, Communications, and Command & Control Systems",2011-11,12.4,data_match,high,"한국의 '고속철도차량' 기술은 지상 기반 교통 시스템으로, 미국 목록에 있는 AH-64 아파치 헬리콥터와 관련 시스템과 같은 다양한 지상 차량 및 이동성 기술과 합리적으로 맞출 수 있습니다."
ICEYE 합성개구레이더 위성,2018-01,우주,합성개구레이더 위성,Commercial remote sensing satellite systems,2024-10,-6.8,data_match,high,"한국 기술 합성개구레이더 위성은 정찰용 레이더 위성으로, 이와 유사한 목적으로 사용될 수 있는 미국 기술인 상용 원격 감지 위성 시스템과 일치합니다."
"AAV(미래비행체), FA-50 단좌형",2031-00,항공/공군,"['미래비행체 (AAV)', 'FA-50 단좌형']",unmanned systems,2024-10,6.2,data_match,high,"한국 국방 기술 'FA-50 단좌형'(FA-50 단좌 전투기)은 유인 항공기이고, 미국 기술 '무인 시스템'은 다양한 무인 항공기와 시스템을 포괄하므로, 기술 유형과 적용 분야에서 합리적으로 맞을 수 있습니다."
AN/SPY-7 이지스 시스템,2027-20,해상/해군,AN/SPY-7 이지스 시스템,F-35 Lightning II,2024-03,4.4,data_match,high,"AN/SPY-7 이지스 시스템은 레이더 시스템이고, F-35 Lightning II는 첨단 레이더 기능을 갖춘 미국 전투기로, 한국 국방 기술과 합리적으로 일치합니다."
25cm 초고해상도 첨단 레이다 위성,2024-03,우주,25cm 초고해상도 합성개구레이다 (SAR),3D-printed antenna arrays for radar systems,2021-02,3.1,data_match,high,"한국의 25cm 초고해상도 합성개구레이더(SAR) 기술은 레이더 시스템의 한 유형이며, 미국의 3D 인쇄 레이더 안테나 어레이 기술과 매칭될 수 있습니다. 두 기술 모두 레이더 기술을 다루며, 한국의 것은 구체적인 구현이고 미국의 것은 이에 적용될 수 있는 일반적인 기술입니다."
해상 원자력 에너지,2024-03,해상/해군,해상 원자력 에너지,submarine technology,2024-11,-0.7,data_match,high,"한국의 핵심 기술 '해상 기반 핵 에너지'는 '핵 발전' 분야에 속하며, 이는 미국 목록의 잠수함 기술과 관련됩니다. 둘 다 해양/해군 응용을 위한 핵 동력 시스템을 다룹니다."
