kr_technology,kr_title,kr_date,kr_sector,kr_category,us_technology,us_title,us_date,us_sector,us_category,core_technology,gap_years,confidence,match_reason
퀵싱크 공대함 유도폭탄,"미공군,퀵싱크 신형 공대함 유도폭탄 시험",2024-08,무기/방어체계,항공,Modified GBU-31 JDAM (Joint Direct Attack Munition) for maritime surface vessel targeting,AFRL technology makes new weapon for sinking ships a reality,2022-04,무기/방어체계,항공,modified GBU-31 JDAM (Joint Direct Attack Munition) for maritime surface vessel targeting,2.3,high,"Both articles discuss the development and testing of a modified JDAM munition for use against ships, referred to as the 'QUICKSINK' capability by the US Air Force. The core technology is the same."
초거대 AI 인프라,"구미시, 초거대 AI 인프라 구축으로 방위산업 제조 분야 기대",2024-08,AI/컴퓨팅,항공,Artificial Intelligence for Command and Control (C2),"Capstone 2025: Advancing AI for C2, dynamic targeting, coalition integration",2025-12,AI/컴퓨팅,항공,Artificial Intelligence (AI) for military applications,-1.3,high,"Both articles discuss the use of advanced, large-scale AI infrastructure and technology for military/defense applications, such as product design, maintenance, and automated decision-making processes. The core technology being discussed is the same - the development and application of powerful AI systems in the defense/military domain."
전기 수직이착륙기(eVTOL) 블랙플라이,"미 공군, 전기 수직이착륙기 '블랙플라이' 시험 착수",2024-08,무인체계,항공,eVTOL (electric vertical take-off and landing) aircraft,Emerging Technologies Integrated Test Force Takes Delivery of First eVTOL Aircraft,2023-09,무인체계,항공,electric vertical take-off and landing (eVTOL) aircraft,0.9,high,"Both articles discuss the testing and evaluation of eVTOL aircraft technology, specifically the BlackFly eVTOL aircraft, as part of the Agility Prime program by the US Air Force. The core technology being explored is the same - electric vertical take-off and landing aircraft."
MANET 솔루션,휴니드 ‘MANET 솔루션’ 육군으로부터 군사적 활용 가치 인정,2024-07,AI/컴퓨팅,항공,Artificial Intelligence for Command and Control (C2),"Capstone 2025: Advancing AI for C2, dynamic targeting, coalition integration",2025-12,AI/컴퓨팅,항공,Artificial Intelligence/Autonomous Technology,-1.4,high,"Both articles discuss the development and application of advanced AI/autonomous technologies for military command and control, targeting, and integration of manned and unmanned systems, even though the specific systems and platforms may differ."
AI 기술을 활용한 선박 사각지대 해소 기술,"HD현대, AI기술로 선박 내 ‘사각지대’ 해소 기술 개발",2024-06,AI/컴퓨팅,지상,Artificial Intelligence for Command and Control (C2),"Capstone 2025: Advancing AI for C2, dynamic targeting, coalition integration",2025-12,AI/컴퓨팅,항공,Artificial Intelligence (AI) for military applications,-1.5,high,"Both articles discuss the use of AI technology, specifically for enhancing situational awareness and reducing blind spots in military/maritime systems. The Korean article focuses on using AI to eliminate blind spots on ships, while the US article discusses the application of AI for command and control, targeting, and coalition integration. The core technology being discussed is the use of AI across different military domains."
"AI 기관사, 기관자동화솔루션","HD한국조선해양, 세계 최초 ‘AI 기관사’ 탑재 선박 건조",2023-08,AI/컴퓨팅,항공,Artificial Intelligence for Command and Control (C2),"Capstone 2025: Advancing AI for C2, dynamic targeting, coalition integration",2025-12,AI/컴퓨팅,항공,Artificial Intelligence (AI) for automation and autonomy,-2.3,high,"Both articles discuss the use of AI technology for automation and autonomous operations, though in different domains (maritime vs. military). The Korean article focuses on AI-based engine automation and monitoring for ships, while the US article discusses AI for military command and control, targeting, and coalition integration. The core underlying technology of AI is the same across these applications."
전기 수직이착륙기(eVTOL),"미공군과 아처, 6대의 미드나이트 전기수직이착륙기 공급 계약 체결",2023-08,무인체계,항공,eVTOL (electric vertical take-off and landing) aircraft,Emerging Technologies Integrated Test Force Takes Delivery of First eVTOL Aircraft,2023-09,무인체계,항공,electric vertical take-off and landing (eVTOL) aircraft,-0.1,high,"Both articles discuss the development, testing, and military applications of eVTOL technology, which is the core technology being focused on."
수상 PAV(Personal Air Vehicle),"아스트로엑스, 자체 개발 수상 PAV 초경량비행장치 안전성 인증 획득",2023-04,재료/제조,항공,Autonomous Collaborative Platforms (ACPs) with human-machine teaming integration,Air Force advances human-machine teaming with autonomous collaborative platforms,2025-07,재료/제조,항공,autonomous collaborative platforms (ACPs) with human-machine teaming integration,-2.2,high,Both articles discuss the development and testing of autonomous/unmanned aerial vehicles that can operate in a collaborative manner with human pilots or operators. The core technology is the integration of autonomous control systems and algorithms with human-in-the-loop operation.
1MW급 빌딩용 직류배전 설비,"HD현대일렉트릭, 세계 최초로 1MW급 빌딩용 직류배전 설비 상용화",2023-04,센서/통신,항공,Space Solar Power System (SSPIDR) - Solar to RF Conversion,"AFRL, Northrop Grumman demonstrate solar to radio frequency conversion",2021-12,센서/통신,항공,Solar to radio frequency (RF) conversion for space-based power systems,1.3,high,"Both articles discuss the development and demonstration of technologies related to converting solar energy to radio frequency (RF) power, which is a core component of space-based solar power systems."
자율운항 선박 시스템,[현장취재] 경기국제보트쇼에서 공개한 삼성중공업 자율운항시스템과 근거리감시스템,2022-01,AI/컴퓨팅,항공,Autonomous aircraft remote operation system,"Autonomous aircraft capabilities showcased by AFWERX, Joby at Department-Level Exercise",2025-07,AI/컴퓨팅,항공,autonomous ship/aircraft system,-3.5,high,"Both articles discuss the development and demonstration of autonomous navigation and control systems for marine and air vehicles, using advanced sensor integration and AI/automation technology. The core focus on autonomous vehicle operation is the same across the two articles."
AAV(Advanced Air Vehicle),"KAI, 미래항공기체 AAV 실증센터 구축",2026-00,무인체계,항공,eVTOL (electric vertical take-off and landing) aircraft,Emerging Technologies Integrated Test Force Takes Delivery of First eVTOL Aircraft,2023-09,무인체계,항공,electric vertical take-off and landing (eVTOL) aircraft,2.2,high,"Both articles discuss the development and testing of advanced air vehicle (AAV) or eVTOL technology, which is the core technology in focus. The Korean article discusses the establishment of a test center for AAV vehicles, while the US article covers the US Air Force's evaluation of eVTOL aircraft, but the underlying core technology is the same."
"['SKY Spotter', '재밍 시스템', '레이저 대공무기']","라파엘사, 스카이스포터 급부상",2023-01,무인체계,항공,C-sUAS (Counter-Small Unmanned Aircraft Systems),DOD Establishes Joint Interagency Task Force to Deliver Affordable C-sUAS Capabilities to America's Warfighters,2025-08,무인체계,항공,Counter-small Unmanned Aircraft Systems (C-sUAS) technology,-2.6,high,"Both articles discuss technologies for detecting and identifying small drones or unmanned aerial vehicles (UAVs), which is the core C-sUAS capability."
"['우주산업', 'UAM(Urban Air Mobility)']","한화시스템-제주대, 우주·UAM 산업 '산학협력' MOU 체결",2025-01,센서/통신,항공,Space Solar Power System (SSPIDR) - Solar to RF Conversion,"AFRL, Northrop Grumman demonstrate solar to radio frequency conversion",2021-12,센서/통신,항공,Space Solar Power System (SSPIDR) - Solar to RF Conversion,3.1,high,"Both articles discuss the core technology of converting solar energy to radio frequency (RF) for space-based applications, such as powering satellites or UAMs (Urban Air Mobility)."
UAM(도심 항공 모빌리티),"한화시스템, 대구·경북 통합 신공항 ‘에어셔틀’ 사업 진출",2030-00,재료/제조,항공,"Advanced Air Mobility (AAM) systems integration, autonomous aircraft airspace management infrastructure",AFWERX to discuss efforts to safely field Advanced Air Mobility systems at XPONENTIAL 2024,2024-04,재료/제조,항공,"Urban Air Mobility (UAM) / Advanced Air Mobility (AAM) systems integration, autonomous aircraft airspace management infrastructure",5.7,high,"Both articles discuss the development and deployment of urban/advanced air mobility systems, including technologies like autonomous aircraft, airspace management, and integration of these systems into transportation networks. The core focus on enabling UAM/AAM capabilities is the same across the articles."
선박 자율운항 기술,"HD현대 아비커스, 세계 최대 보트 쇼 참가",2023-01,AI/컴퓨팅,항공,Artificial Intelligence for Command and Control (C2),"Capstone 2025: Advancing AI for C2, dynamic targeting, coalition integration",2025-12,AI/컴퓨팅,항공,Artificial Intelligence for autonomous/automated systems,-2.9,high,"Both articles discuss the use of AI and autonomous technologies, with the Korean article focused on autonomous ship navigation and the US article discussing AI for military command and control and targeting. The core technology being discussed is the application of AI and autonomous systems across different domains."
B-21 스텔스 폭격기,"미공군,B-21 차세대 폭격기 공개",2022-12,항공기,항공,B-21 Raider stealth bomber - mission systems and weapon integration,US Air Force announces arrival of second B-21 test aircraft at Edwards AFB,2025-09,재료/제조,항공,B-21 stealth bomber technology,-2.8,high,"Both articles discuss the development and testing of the B-21 Raider, a next-generation stealth bomber aircraft being developed by the US Air Force. The core technology being discussed in both articles is the B-21 stealth bomber platform and its associated mission systems and weapon integration capabilities."
"['UAM 기체', 'UAM 교통관리 시스템']","K-UAM 드림팀, 2025년 제주 UAM 상용화 추진",2025-00,무인체계,항공,eVTOL (electric vertical take-off and landing) aircraft,Emerging Technologies Integrated Test Force Takes Delivery of First eVTOL Aircraft,2023-09,무인체계,항공,Urban Air Mobility (UAM) / eVTOL (electric vertical take-off and landing) aircraft,1.2,high,"Both articles discuss the development and testing of electric vertical take-off and landing (eVTOL) aircraft, which is the core technology underlying Urban Air Mobility (UAM) systems. The Korean article focuses on a consortium working to commercialize UAM in South Korea, while the US article discusses the US Air Force's testing and evaluation of eVTOL aircraft through their Agility Prime program."
대테러작전용 다족보행로봇,"현대로템, 대테러작전용 다족보행로봇 개발 착수",2024-06,재료/제조,항공,QUGV (Quadrupedal Unmanned Ground Vehicle) with remote CBRN sensing capabilities,CHAPPIE: An innovative advancement in CBRN defense,2024-11,재료/제조,지상,Quadrupedal unmanned ground vehicle (QUGV) with remote CBRN sensing capabilities,-0.4,high,"Both articles describe the development and use of a quadrupedal unmanned ground vehicle (QUGV) with remote CBRN (chemical, biological, radiological, nuclear) sensing capabilities, which is the core technology discussed in both cases."
"['AI 기반의 다출처 영상융합체계', 'GOP・해안경계체계', '무인기를 활용한 타격·감시능력 강화', '군사정찰위성', 'F-X 2차 사업', 'M-SAMⅡ 및 L-SAM', '탄도탄조기경보레이더-Ⅱ', '고위력・초정밀 미사일', '특수전 부대 침투・타격능력 강화', '장사정포 요격체계']","국방부, 대통령 업무보고",2022-07,AI/컴퓨팅,항공,Artificial Intelligence for Command and Control (C2),"Capstone 2025: Advancing AI for C2, dynamic targeting, coalition integration",2025-12,AI/컴퓨팅,항공,Artificial Intelligence for military applications,-3.4,high,"Both articles discuss the use of AI technology for military applications, such as command and control systems, targeting, and integration across coalition forces. The Korean article mentions specific AI-based technologies like 'AI-based multi-source video fusion system' and the US article describes the testing and development of AI for military command and control and targeting."
전기 수직 이착륙 항공기 (eVTOL),"현대차그룹, ‘영국 판보로 에어쇼’ 참가",2028-01,AI/컴퓨팅,항공,Electric Vertical Takeoff and Landing (eVTOL) Aircraft - Pivotal BlackFly,"AFWERX, MTSI evaluate electric vertical takeoff, landing aircraft for military applications",2024-07,AI/컴퓨팅,항공,Electric Vertical Takeoff and Landing (eVTOL) Aircraft,3.5,high,"Both articles discuss the development and testing of eVTOL aircraft technology, which is the core technology common to both."
UAM (Urban Air Mobility),"SK텔레콤, 부산국제모터쇼에서 UAM 미래상 공개",2030-06,무인체계,항공,eVTOL (electric vertical take-off and landing) aircraft,Emerging Technologies Integrated Test Force Takes Delivery of First eVTOL Aircraft,2023-09,무인체계,항공,Urban Air Mobility (UAM) / electric vertical take-off and landing (eVTOL) aircraft,6.8,high,"Both articles discuss the development and testing of advanced aerial mobility technologies, specifically UAM and eVTOL, which are considered the same core technology focused on electric and autonomous air transportation solutions."
도심 항공 모빌리티(UAM) 기체 및 시스템,한화시스템 美 오버에어에 1500억 규모 투자,2024-20,AI/컴퓨팅,항공,Electric Vertical Takeoff and Landing (eVTOL) Aircraft - Pivotal BlackFly,"AFWERX, MTSI evaluate electric vertical takeoff, landing aircraft for military applications",2024-07,AI/컴퓨팅,항공,Electric Vertical Takeoff and Landing (eVTOL) Aircraft,1.1,high,"Both articles discuss the core technology of eVTOL aircraft, covering aspects like development, testing, and deployment of this emerging aviation technology."
한국형 발전용 가스터빈,두산의 한국형 발전용 가스터빈,2023-07,,,Gas turbine engine design and modification,University students to present new aerospace propulsion concepts at Air Force Museum,2025-04,재료/제조,항공,gas turbine engine design and modification,-1.8,high,"Both articles discuss the development and testing of gas turbine engines, which is the core technology being explored in both cases."
A350-1000 항공기,"에어버스, 2022싱가포르 에어쇼(15~18일) 참가",2022-02,센서/통신,항공,Space Solar Power System (SSPIDR) - Solar to RF Conversion,"AFRL, Northrop Grumman demonstrate solar to radio frequency conversion",2021-12,센서/통신,항공,Solar to RF conversion for space-based power systems,0.2,high,"Both articles discuss the development and demonstration of technologies for converting solar power to radio frequency (RF) energy, which is a key component of space-based solar power systems."
MQ-8C 파이어 스카우트,MQ-8C 파이어 스카우트의 대잠수함전 전투 능력,2021-10,무인체계,항공,Fuel cell-powered unmanned aerial system (UAS) with submerged launch capability,Navy Launches UAV from Submerged Submarine,2013-12,무인체계,항공,Fuel cell-powered unmanned aerial system (UAS) with submerged submarine launch capability,7.8,high,"Both articles discuss the development and demonstration of a fuel cell-powered unmanned aerial system that can be launched from a submerged submarine, which represents the same core technology."
"['정찰드론', '공격드론', '수송드론', '군집드론', 'AI기반 자율드론', 'UAM(Urban Air Mobility·도심항공교통)']","육군, 계룡대에서 드론발전 대토론회를 열어",2030-06,AI/컴퓨팅,항공,Autonomous aircraft remote operation system,"Autonomous aircraft capabilities showcased by AFWERX, Joby at Department-Level Exercise",2025-07,AI/컴퓨팅,항공,AI-based autonomous drone/aircraft technology,4.9,high,"Both articles discuss the development and demonstration of autonomous drone/aircraft capabilities, including the use of AI, remote operation, and integration with military systems. The Korean article mentions 'AI-based autonomous drones' and the US article discusses 'autonomous aircraft remote operation system', which seem to be referring to the same core technology."
다목적무인차량,한화디펜스 ‘지능형 다목적무인차량’ 군에서 시범운용 예정,2021-07,무인체계/로봇,지상,"AI-enabled Command and Control (C2) System, Human-Machine Teaming, Automated Kill Chain","Air Force Battle Lab advances the kill chain with AI, C2 Innovation",2025-06,센서/통신,항공,AI-enabled autonomous/unmanned vehicle systems,-3.9,high,"Both articles discuss the development and testing of advanced autonomous/unmanned vehicle technologies, with a focus on AI-enabled capabilities for tasks like navigation, sensing, and mission support. The Korean article describes an AI-powered multi-purpose unmanned vehicle system, while the US article discusses AI-integrated command and control systems and automated kill chain workflows - all of which are core aspects of autonomous vehicle technology."
"['다목적무인차량', '원격사격통제체계(RCWS)', 'K9 자주포', 'K10 탄약운반장갑차', '120밀리 자주박격포', '타이곤(TIGON) 차륜형장갑차', '레드백(REDBACK) 궤도장갑차', '함정전투체계(CMS)']","한화 방산3사, 중동 최대 방산 전시회 ‘IDEX 2021’ 참가",2021-02,무기/방어체계,항공,Networked Collaborative Autonomous (NCA) weapon systems with inter-weapon communication network,AFRL successfully completes Golden Horde Collaborative Small Diameter Bomb flight demonstrations,2021-05,무기/방어체계,지상,Networked Collaborative Autonomous (NCA) weapon systems with inter-weapon communication network,-0.2,high,"Both articles discuss the development and demonstration of networked, autonomous weapon systems with the ability to communicate and coordinate with each other in flight. The Korean article mentions specific technologies like remote-controlled weapon stations and unmanned ground vehicles, while the US article focuses on the broader concept of networked collaborative autonomous weapons. However, the core technology being described is the same across both articles."
AMCM의 MAK-4 프린터,"신타비아, AMCM의 MAK-4 프린터 2대 도입으로 로켓 생산 능력 확대",2021-06,재료/제조,항공,Additive Manufacturing / 3D Printing,AFRL engineer awarded Military Additive Manufacturing Lifetime Achievement Award,2024-02,재료/제조,항공,Additive Manufacturing / 3D Printing,-2.7,high,"Both articles discuss the use of advanced 3D printing technology, specifically AMCM's M4K-4 printer, for the production of rocket and aerospace components. The Korean article focuses on Sintavia's acquisition and use of this technology, while the US article discusses the broader development and application of additive manufacturing within the AFRL."
"['데이터 보안 공유', 'F-22', 'F-35', 'XQ-58A 발키리', '네트워크']","미공군, F-22, F-35가 처음으로 양방향 데이터 보안 공유를 시연",2020-12,항공기,항공,Autonomous formation flight control system for unmanned aerial vehicles,Successful attritableONE (XQ-58 Valkyrie) return to flight test enables formation flight with fifth-generation fighters,2020-12,항공기,항공,Autonomous formation flight control system for unmanned aerial vehicles,0.0,high,"Both articles discuss the development and testing of autonomous formation flight capabilities, allowing unmanned aerial vehicles (like the XQ-58A Valkyrie) to fly in coordination with manned fifth-generation fighters like the F-22 and F-35. This is the core technological focus in both articles, despite differences in platform types."
"['대잠초계기(P-1)', '대잠초계기(P-3C) 성능향상', '대잠초계기(P-3C) 수명연장', '해상작전헬기(SH-60K)', '해상작전헬기(SH-60J) 수명연장', '새로운 해상작전헬기 개발', '새로운 조기경계(관제)기 획득']",2020년 전력화 되어 있는 자위대 핵심 전력,2020-04,센서/통신,항공,Radiation Tolerance Research on Electronics for Space and Strategic Systems (FORTRESS),AFRL hosts ribbon-cutting ceremony at new FORTRESS facility,2024-08,센서/통신,항공,Radiation-hardened electronic components for space and strategic defense systems,-4.3,high,"Both articles discuss research and development of radiation-tolerant electronics for military and space applications, which is the core technology being discussed."
중형표준차량,중형표준트럭 우선협상대상자 11월 8일 기아자동차 선정,2019-11,재료/제조,항공,Autonomous Collaborative Platforms (ACPs) with human-machine teaming integration,Air Force advances human-machine teaming with autonomous collaborative platforms,2025-07,재료/제조,항공,Autonomous Collaborative Platforms (ACPs) with human-machine teaming integration,-5.7,high,"Both articles discuss the core technology of autonomous platforms that integrate with human operators, enabling human-machine teaming. This is the same fundamental technology being discussed, even though the specific vehicle types differ."
"인공지능(AI), 스마트 안전관리 체계","2019년, 더 '강한 육군, 자랑스러운 육군'으로 도약",2019-08,AI/컴퓨팅,항공,Artificial Intelligence for Command and Control (C2),"Capstone 2025: Advancing AI for C2, dynamic targeting, coalition integration",2025-12,AI/컴퓨팅,항공,Artificial Intelligence (AI) for military applications,-6.3,high,"Both articles discuss the use of AI and advanced technologies for military command, control, and operations. The Korean article specifically mentions the use of AI and big data for combat readiness and safety, while the US article discusses the application of AI for command and control, targeting, and coalition integration. The core technology being discussed in both cases is the use of AI and advanced analytics in military systems."
