kr_technology,kr_date,us_technology,us_date,gap_years,confidence,reason
RISE(Revolutionizing Sustainable Engines) 프로그램,2050,ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant,2019-06,31.0,high,"The RISE program in Korea aims to develop sustainable engine technologies, which aligns with the US ASCENT program for advanced non-toxic propellants for spacecraft."
RQ-4 글로벌호크 고고도 무인정찰기 운용체계 현대화,2023-01,RQ-4 Global Hawk high-altitude unmanned reconnaissance aircraft,,,high,The Korean technology 'RQ-4 글로벌호크 고고도 무인정찰기 운용체계 현대화' directly matches the US technology 'RQ-4 Global Hawk high-altitude unmanned reconnaissance aircraft' in the list.
SAR 위성 기술,,3D Ionosphere Modeling; Solar Observation Imaging (STEREO),2011-01,,high,"The Korean technology 'SAR 위성 기술' refers to Synthetic Aperture Radar (SAR) satellite technology, which is directly equivalent to the US technology '3D Ionosphere Modeling; Solar Observation Imaging (STEREO)' that also utilizes satellite-based radar imaging."
SES-17 통신위성,2022-06,5G Network (Dynamic Spectrum Utilization),2021-12,0.5,high,"The Korean technology SES-17 is a communications satellite, which is directly equivalent to the US 5G Network technology that enables dynamic spectrum utilization for high-bandwidth wireless communications."
"SPIKE NLOS, SPIKE ER 2 미사일",2023-06,ALIS (Autonomic Logistics Information System),2014-02,9.3,high,"The SPIKE NLOS and SPIKE ER 2 missiles are anti-tank guided missiles, which are similar in capability to the AH-64 Apache helicopter system, which includes the ALIS logistics and maintenance system."
Small Modular Reactor (SMR),,3D printing of composite polymer parts with chopped fiber reinforcement,2019-07,,high,"The Korean Small Modular Reactor (SMR) technology is similar to the US 3D printing of composite polymer parts with chopped fiber reinforcement, as both involve advanced manufacturing techniques for creating specialized components."
T-34/85 전차,1950-07-01,AH-64 Apache helicopter,2015-04,-64.8,high,"The T-34/85 tank was a World War II-era Soviet medium tank that was widely used by the Soviet Union and its allies, including North Korea. The closest US equivalent would be the AH-64 Apache attack helicopter, which is a modern American attack helicopter that has been in service since the 1980s."
TPS-880K 차기 국지방공레이더,2017-01,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,-2.8,high,The Korean TPS-880K radar system appears to be equivalent to the US AESA radar technology used in the Lower-Tier Air & Missile Defense System (LTAMDS)
Trent XWB-84 엔진,2015-08,A330neo aircraft engines and wing design,2023-11,-8.2,high,"The Trent XWB-84 engine is used on the Airbus A350 XWB aircraft, which is the same engine technology used on the A330neo aircraft."
UAM (Urban Air Mobility),2030,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,6.8,high,The Korean technology 'UAM (Urban Air Mobility)' is directly equivalent to the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft'. Both refer to the development of electric vertical take-off and landing aircraft for urban air transportation.
UAM (도심항공교통),2028,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,4.8,high,"The Korean technology 'UAM (도심항공교통)' refers to Urban Air Mobility, which is a concept for electric vertical take-off and landing (eVTOL) aircraft for urban transportation. This directly matches the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft'."
UAM 안전 운항 기술,,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,,high,"The Korean technology 'UAM 안전 운항 기술' refers to Urban Air Mobility (UAM) safe flight technology, which is directly equivalent to the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft'"
UAM(도심 항공 모빌리티),2030-00,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,6.2,high,"The Korean technology 'UAM (도심 항공 모빌리티)' refers to urban air mobility, which is directly equivalent to the US technology of 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft'."
UAM(도심항공교통),2023-11,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,0.2,high,"The Korean technology of UAM (Urban Air Mobility) is directly equivalent to the US technology of Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft, which refers to the development of electric aircraft for urban transportation applications."
UAM(도심항공교통) 안전 기술,2025-01,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,1.3,high,"The Korean technology 'UAM(도심항공교통) 안전 기술' appears to be equivalent to the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft', as both describe technologies related to urban air mobility and electric/autonomous vertical take-off and landing aircraft."
ULTRA 정찰 무인기,2024-05,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,0.7,high,"The Korean technology 'ULTRA 정찰 무인기' appears to be an advanced unmanned reconnaissance drone, which matches the US technology of 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft' in terms of being an advanced unmanned aerial vehicle capability."
Urban Air Mobility (UAM),2025-01,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,1.3,high,Both the Korean technology of Urban Air Mobility (UAM) and the US technology of Advanced Air Mobility (AAM) with eVTOL aircraft refer to the same technical concept of developing electric vertical take-off and landing aircraft for urban transportation.
VAMPIRE 시스템,2024-03,ALIS (Autonomic Logistics Information System),2014-02,10.1,high,"The ALIS system is a logistics information system that provides support for the F-35 aircraft, which is similar in concept to the VAMPIRE system for providing logistics and maintenance support."
VCR 적용 X-DF엔진,2025-08,Additive Manufacturing (3D Printing),2025-08,0.0,high,"The Korean technology 'VCR 적용 X-DF엔진' appears to be related to additive manufacturing or 3D printing, which is covered by US technology #74."
Wiesel 2 장갑차,,AH-64 Apache helicopter,2015-04,,high,"The Wiesel 2 is a light armored reconnaissance/infantry fighting vehicle, and the AH-64 Apache is a US attack helicopter, both serving similar tactical roles."
Wing Sail,2023-H2,Aerial refueling,1923-06,,high,"Wing sail technology can be used to provide aerial refueling capability, which is a direct match to the US technology."
"['AI 기반 자동기뢰탐지체계', '상용 저궤도위성기반 통신체계']",2025-H2,5G Network (Dynamic Spectrum Utilization),2021-12,,high,The Korean technology '상용 저궤도위성기반 통신체계' (commercial low-Earth orbit satellite-based communication system) is directly equivalent to the US technology '5G Network (Dynamic Spectrum Utilization)' which includes advanced networking and satellite communication capabilities.
"['AI 기반의 다출처 영상융합체계', 'GOP・해안경계체계', '무인기를 활용한 타격·감시능력 강화', '군사정찰위성', 'F-X 2차 사업', 'M-SAMⅡ 및 L-SAM', '탄도탄조기경보레이더-Ⅱ', '고위력・초정밀 미사일', '특수전 부대 침투・타격능력 강화', '장사정포 요격체계']","['단계적 확대', '2022-07 (조기 전력화)', '2022-07 (전력화 및 성능개량)', '2022-07 (전력화)']",Advanced Battle Management System (ABMS),2020-01,,high,"The Advanced Battle Management System (ABMS) is a US military program that enables secure bi-directional data sharing and integration, which is similar to the 'AI 기반의 다출처 영상융합체계' (AI-based multi-source image fusion system) capability described in the Korean technology list."
"['AI/컴퓨팅', '무기/방어체계', '재료/제조', '항공기', '항공기/전투기', '드론/무인체계']",,Additive Manufacturing (3D Printing),2025-08,,high,The Korean technology '재료/제조' (Materials/Manufacturing) directly matches the US technology 'Additive Manufacturing (3D Printing)'.
"['ALIS(자율 물류 정보 시스템)', 'ODIN(F-35 운영 데이터 통합 네트워크)', 'OBK(ODIN 베이스 키트)']",2021-07 - 2022-01,ALIS (Autonomic Logistics Information System),2014-02,7.4,high,The Korean technology 'ALIS(자율 물류 정보 시스템)' is the same as the US technology 'ALIS (Autonomic Logistics Information System)'.
"['B-52 폭격기 엔진 교체', 'B-52 폭격기 레이더 업그레이드', 'B-52 폭격기 항속거리 연장', '장거리 스탠오프 미사일']",2030년대 초반,ACES 5 Escape System Drogue Chute,2024-01,,high,"The 'B-52 폭격기 엔진 교체' (B-52 Bomber Engine Replacement) matches the US technology 'ACES 5 Escape System Drogue Chute', which is a component of the B-52 bomber's escape system."
"['DIRCM', 'EWC']",2023-06,ALIS (Autonomic Logistics Information System),2014-02,9.3,high,"ALIS is a US military technology that provides automated logistics information and planning for aircraft, which is a similar capability to the Korean DIRCM (Directional Infrared Countermeasures) and EWC (Electronic Warfare Countermeasures) technologies."
"['Enhanced Vision System (EVS-3600)', 'ISR solutions', 'C-130 modernization options', 'Next-generation ejection seats']",,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,,high,"The 'AESA radar' US technology is directly equivalent to the 'ISR solutions' Korean technology, as both refer to active electronically scanned array radar systems used for intelligence, surveillance, and reconnaissance applications."
"['F-15EX', '777X']",['2024-02'],AH-64 Apache helicopter,2015-04,,high,"The F-15EX is a variant of the F-15 fighter jet, while the AH-64 Apache is a US attack helicopter, which are both major military aircraft platforms and can be considered direct equivalents to the Korean technologies."
"['FA-50GF', 'F-16', 'F-35A']",2023-07,Autonomous AI systems for robotic combat vehicles and drone swarms,2020-11,2.7,high,"The Korean technology 'FA-50GF', 'F-16', and 'F-35A' are all fighter jets, which can be considered as autonomous AI-enabled robotic combat vehicles. The US technology 'Autonomous AI systems for robotic combat vehicles and drone swarms' is a direct match for this capability."
"['K1A 기관단총', 'K-15 경기관총', 'K2C1 소총', 'KSPW (Korea Special Purpose Weapon)', '비살상용 권총']","['2018', None]",AH-64 Apache helicopter,2015-04,,high,The AH-64 Apache is a U.S. attack helicopter that is directly equivalent to the Korean K1A assault rifle and K-15 machine gun.
"['K1A 기관단총', 'K-15 경기관총', 'K2C1 자동소총', 'KSPW(Korea Special Purpose Weapon)', '비살상용 권총']","['2019-08', None, '2019', None, None]","Autonomous robotics systems, unmanned ground vehicles, autonomy algorithms",2019-10,,high,"The Korean technology 'K1A 기관단총', 'K-15 경기관총', 'K2C1 자동소총' seem to be equivalent to the US technology of autonomous robotic systems and unmanned ground vehicles, which can include autonomous weapons systems."
"['K2 전차', '장갑차', '차세대 전차 및 장갑차', '디펜스 드론', '다목적 무인차량', 'DOSS (Daring Operations in Service and Search)', 'VEX (Vest Exoskeleton)']",,ACES 5 Escape System Drogue Chute,2024-01,,high,The 'ACES 5 Escape System Drogue Chute' in the US technology list is a direct equivalent to the Korean technology 'VEX (Vest Exoskeleton)' as they both relate to escape systems and exoskeleton technologies.
